,Estado,2017,2018,2019,2020,2021
0,Total,0.759,0.764,0.766,0.758,0.754
1,Acre,0.713,0.718,0.72,0.712,0.709
2,Alagoas,0.717,0.721,0.723,0.715,0.712
3,Amapa,0.746,0.751,0.753,0.745,0.741
4,Amazonas,0.735,0.74,0.742,0.734,0.73
5,Bahia,0.733,0.738,0.74,0.732,0.728
6,Ceara,0.731,0.736,0.738,0.73,0.726
7,Distrito Federal,0.821,0.826,0.829,0.82,0.816
8,Espirito Santo,0.761,0.767,0.769,0.761,0.757
9,Goias,0.766,0.771,0.773,0.765,0.761
10,Maranhao,0.703,0.708,0.709,0.702,0.698
11,Mato Grosso,0.756,0.761,0.763,0.755,0.751
12,Mato Grosso do Sul,0.762,0.767,0.769,0.761,0.757
13,Minas Gerais,0.759,0.764,0.767,0.758,0.754
14,Para,0.717,0.722,0.724,0.716,0.712
15,Paraiba,0.734,0.739,0.74,0.732,0.729
16,Parana,0.768,0.773,0.776,0.767,0.763
17,Pernambuco,0.735,0.739,0.741,0.733,0.73
18,Piaui,0.712,0.717,0.719,0.711,0.707
19,Rio de Janeiro,0.788,0.793,0.796,0.787,0.783
20,Rio Grande do Norte,0.748,0.753,0.755,0.747,0.743
21,Rio Grande do Sul,0.774,0.779,0.781,0.773,0.769
22,Rondonia,0.732,0.737,0.739,0.731,0.727
23,Roraima,0.761,0.766,0.768,0.76,0.756
24,Santa Catarina,0.774,0.779,0.781,0.773,0.769
25,Sao Paulo,0.785,0.79,0.793,0.784,0.78
26,Sergipe,0.744,0.749,0.751,0.743,0.739
27,Tocantins,0.748,0.753,0.755,0.746,0.743
